run_id,ticker,interval,threshold,reservoir_size,spectral_radius,sparsity,input_scale,leaking_rate,ridge_alpha,washout,random_state,train_mse,train_mae,train_directional_accuracy,train_accuracy,train_buy_precision,train_buy_recall,train_sell_precision,train_sell_recall,val_mse,val_mae,val_directional_accuracy,val_accuracy,val_buy_precision,val_buy_recall,val_sell_precision,val_sell_recall,test_mse,test_mae,test_directional_accuracy,test_accuracy,test_buy_precision,test_buy_recall,test_sell_precision,test_sell_recall,prediction_path
run_0001,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,50.0,30,42,0.24563097714147528,0.4150577332468715,0.6836948915325403,0.5283414975507348,0.7606330365974283,0.5366364270760642,0.7361530715005036,0.5262778977681786,0.30207921760774314,0.4670208237542765,0.5954692556634305,0.5016181229773463,0.5857988165680473,0.678082191780822,0.7105263157894737,0.34394904458598724,0.33412827638859793,0.4913428716845637,0.603225806451613,0.47580645161290325,0.6993865030674846,0.3619047619047619,0.5792880258899676,0.5966666666666667,
run_0002,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,75.0,30,42,0.24935861397448938,0.4194096234127438,0.6798460461861442,0.5139958012596221,0.7682186234817814,0.5296580600139568,0.7378435517970402,0.5025197984161267,0.3000816018803757,0.46707492552177554,0.5954692556634305,0.5032362459546925,0.5940298507462687,0.6815068493150684,0.7152317880794702,0.34394904458598724,0.331963839484004,0.4910475580171845,0.6016129032258064,0.45483870967741935,0.6878980891719745,0.34285714285714286,0.5714285714285714,0.5733333333333334,
run_0003,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,100.0,30,42,0.25212996237330815,0.4225291355710228,0.6756473058082575,0.5027991602519244,0.7687564234326825,0.5219818562456385,0.7382769901853872,0.48740100791936647,0.2990290784415266,0.46772523304787816,0.5954692556634305,0.5,0.6012084592145015,0.6815068493150684,0.7210884353741497,0.3375796178343949,0.33096527877130066,0.49106444918513137,0.5967741935483871,0.4483870967741935,0.6948051948051948,0.3396825396825397,0.5709459459459459,0.5633333333333334,
run_0004,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,150.0,30,42,0.2562762928802727,0.42707336944030305,0.6731980405878236,0.4821553533939818,0.767268862911796,0.5038381018841591,0.7385321100917431,0.4636429085673146,0.2982871221622221,0.46951737271156885,0.5906148867313916,0.4919093851132686,0.6125,0.6712328767123288,0.7323943661971831,0.33121019108280253,0.3303637885176754,0.49152788725189733,0.5919354838709677,0.4403225806451613,0.7171052631578947,0.346031746031746,0.5765124555160143,0.54,
run_0005,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,200.0,30,42,0.25942577954151236,0.4305199233791734,0.675297410776767,0.4646606018194542,0.7672131147540984,0.4898813677599442,0.7355769230769231,0.4406047516198704,0.2984301991177349,0.4713351835119557,0.5922330097087378,0.48058252427184467,0.61198738170347,0.6643835616438356,0.7388059701492538,0.31528662420382164,0.3305208623570146,0.49219508469207746,0.5919354838709677,0.4258064516129032,0.7105263157894737,0.34285714285714286,0.5724907063197026,0.5133333333333333,
run_0006,SPY,1d,0.1,75,0.75,0.05,0.3,0.2,300.0,30,42,0.2642051133582206,0.43574753652943116,0.6703988803358992,0.43351994401679494,0.7658592848904268,0.4633635729239358,0.7310704960835509,0.4031677465802736,0.29976105054092084,0.47474288985566354,0.5938511326860841,0.46763754045307443,0.618421052631579,0.6438356164383562,0.768,0.3057324840764331,0.3315500697325247,0.493818118385302,0.5838709677419355,0.39838709677419354,0.7241379310344828,0.3333333333333333,0.5737704918032787,0.4666666666666667,
run_0007,SPY,1d,0.1,75,0.75,0.05,0.3,0.3,50.0,30,42,0.2547526232590226,0.4255258911918361,0.6668999300209937,0.5024492652204339,0.7455268389662028,0.5233775296580601,0.7197860962566844,0.4845212383009359,0.3000586701511556,0.46558367754624697,0.6003236245954693,0.4919093851132686,0.5974842767295597,0.6506849315068494,0.7414965986394558,0.3471337579617834,0.3394281928418058,0.498962935591313,0.5854838709677419,0.4661290322580645,0.6763005780346821,0.37142857142857144,0.5856164383561644,0.57,
run_0008,SPY,1d,0.1,75,0.75,0.05,0.3,0.3,75.0,30,42,0.2577847262351049,0.4287545510420998,0.6606018194541637,0.4902029391182645,0.749238578680203,0.515003489183531,0.72,0.46652267818574517,0.29928990399751315,0.4669228986741439,0.6003236245954693,0.4854368932038835,0.6006389776357828,0.6438356164383562,0.7412587412587412,0.3375796178343949,0.3380271149832747,0.498442409273756,0.5887096774193549,0.4612903225806452,0.68,0.37777777777777777,0.5907473309608541,0.5533333333333333,
run_0009,SPY,1d,0.1,75,0.75,0.05,0.3,0.3,100.0,30,42,0.2600250175557749,0.4311081522200586,0.6599020293911827,0.4762071378586424,0.7513061650992685,0.5017445917655269,0.7133105802047781,0.4514038876889849,0.29901839832837984,0.46821172011003476,0.598705501618123,0.48381877022653724,0.6111111111111112,0.6404109589041096,0.762589928057554,0.3375796178343949,0.3374044258003645,0.49832581320596375,0.5838709677419355,0.4483870967741935,0.6823529411764706,0.3682539682539683,0.5875912408759124,0.5366666666666666,
run_0010,SPY,1d,0.1,75,0.75,0.05,0.3,0.3,150.0,30,42,0.2633574703464153,0.4345843160539066,0.6606018194541637,0.45941217634709586,0.7489316239316239,0.4891835310537334,0.7124105011933174,0.4298056155507559,0.2991621260989633,0.47068102117054694,0.6019417475728155,0.46763754045307443,0.6112956810631229,0.6301369863013698,0.7615384615384615,0.31528662420382164,0.33706716689860766,0.49861314484420877,0.5758064516129032,0.4258064516129032,0.688622754491018,0.36507936507936506,0.5826771653543307,0.49333333333333335,
