run_id,ticker,interval,threshold,reservoir_size,spectral_radius,sparsity,input_scale,leaking_rate,ridge_alpha,washout,random_state,train_mse,train_mae,train_directional_accuracy,train_accuracy,train_buy_precision,train_buy_recall,train_sell_precision,train_sell_recall,val_mse,val_mae,val_directional_accuracy,val_accuracy,val_buy_precision,val_buy_recall,val_sell_precision,val_sell_recall,test_mse,test_mae,test_directional_accuracy,test_accuracy,test_buy_precision,test_buy_recall,test_sell_precision,test_sell_recall,prediction_path
run_0001,SPY,1d,0.2,50,0.85,0.1,0.5,0.3,1.0,30,42,0.24172230182264176,0.4071333669826469,0.6990902729181245,0.38768369489153254,0.823021582733813,0.3991625959525471,0.7699248120300752,0.36861051115910726,0.3207848399627801,0.47552047220376925,0.610032362459547,0.39158576051779936,0.6390041493775933,0.5273972602739726,0.8118811881188119,0.2611464968152866,0.35428296179213714,0.5095860124814654,0.5758064516129032,0.3096774193548387,0.744,0.29523809523809524,0.5,0.32,results\esn_sweep\predictions\run_0001_predictions.csv
run_0002,SPY,1d,0.2,50,0.85,0.1,0.5,0.3,10.0,30,42,0.25123570711334414,0.41903559189984635,0.6805458362491252,0.3551434569629111,0.8095952023988006,0.3768318213538032,0.760539629005059,0.32469402447804174,0.30815288176814176,0.4669360116226383,0.6051779935275081,0.4045307443365696,0.6532258064516129,0.5547945205479452,0.8367346938775511,0.2611464968152866,0.34142720060722065,0.5028311729147038,0.5887096774193549,0.31451612903225806,0.8151260504201681,0.30793650793650795,0.5052631578947369,0.32,results\esn_sweep\predictions\run_0002_predictions.csv
run_0003,SPY,1d,0.2,50,0.85,0.1,0.5,0.3,100.0,30,42,0.26143554333636987,0.43127328350004623,0.6665500349895032,0.29461161651504547,0.8371681415929203,0.33007676203768316,0.7351694915254238,0.2498200143988481,0.30080836549074963,0.4683557672303472,0.598705501618123,0.36245954692556637,0.6637168141592921,0.5136986301369864,0.8395061728395061,0.21656050955414013,0.3422086354773782,0.5040221298290685,0.5870967741935483,0.26129032258064516,0.8191489361702128,0.24444444444444444,0.5324675324675324,0.2733333333333333,results\esn_sweep\predictions\run_0003_predictions.csv
run_0004,SPY,1d,0.2,50,0.9,0.1,0.5,0.3,1.0,30,42,0.24201360369021277,0.40710246903998865,0.6959412176347096,0.38978306508047583,0.8214285714285714,0.40125610607117934,0.7709580838323353,0.37077033837293016,0.3215336256369873,0.4767140336788897,0.6148867313915858,0.38673139158576053,0.6244897959183674,0.523972602739726,0.7941176470588235,0.25796178343949044,0.35370957230480443,0.5089148979058342,0.5693548387096774,0.31129032258064515,0.7540983606557377,0.2920634920634921,0.5051546391752577,0.32666666666666666,results\esn_sweep\predictions\run_0004_predictions.csv
run_0005,SPY,1d,0.2,50,0.9,0.1,0.5,0.3,10.0,30,42,0.25067237088974875,0.4182039399713696,0.6847445766270119,0.36004198740377885,0.8131539611360239,0.3796231681786462,0.7666666666666667,0.33117350611951046,0.31067638024655053,0.4689702273037824,0.6067961165048543,0.4110032362459547,0.64453125,0.565068493150685,0.83,0.2643312101910828,0.34125834637480895,0.5026693550811531,0.5838709677419355,0.32741935483870965,0.8225806451612904,0.3238095238095238,0.5076923076923077,0.33,results\esn_sweep\predictions\run_0005_predictions.csv
run_0006,SPY,1d,0.2,50,0.9,0.1,0.5,0.3,100.0,30,42,0.2602544166304738,0.4299338411812579,0.6662001399580126,0.30440867739678096,0.8313458262350937,0.3405443126308444,0.7341513292433538,0.2584593232541397,0.3025168114614554,0.4693038803773462,0.6035598705501618,0.36893203883495146,0.6578947368421053,0.5136986301369864,0.8372093023255814,0.22929936305732485,0.3418809530708945,0.503780059456103,0.5903225806451613,0.27580645161290324,0.8297872340425532,0.24761904761904763,0.5487804878048781,0.3,results\esn_sweep\predictions\run_0006_predictions.csv
run_0007,SPY,1d,0.2,50,0.95,0.1,0.5,0.3,1.0,30,42,0.24245483327029563,0.40728399393780707,0.6941917424772568,0.3922323303009097,0.8181818181818182,0.4019539427773901,0.7718518518518519,0.375089992800576,0.3219096328043306,0.477711205344806,0.6116504854368932,0.38996763754045305,0.6194331983805668,0.523972602739726,0.780952380952381,0.2611464968152866,0.35274664078066253,0.5076977923334286,0.5725806451612904,0.31451612903225806,0.7966101694915254,0.2984126984126984,0.5051546391752577,0.32666666666666666,results\esn_sweep\predictions\run_0007_predictions.csv
run_0008,SPY,1d,0.2,50,0.95,0.1,0.5,0.3,10.0,30,42,0.25027462532613853,0.41751574640216543,0.6850944716585025,0.3621413575927222,0.8110119047619048,0.38032100488485693,0.7660626029654036,0.3347732181425486,0.31321915914824894,0.47118542606464114,0.6084142394822006,0.41262135922330095,0.637065637065637,0.565068493150685,0.8235294117647058,0.267515923566879,0.3411731231517818,0.5023756173179933,0.5870967741935483,0.3387096774193548,0.8429752066115702,0.3238095238095238,0.5223880597014925,0.35,results\esn_sweep\predictions\run_0008_predictions.csv
run_0009,SPY,1d,0.2,50,0.95,0.1,0.5,0.3,100.0,30,42,0.25920626580459655,0.4287135232182291,0.6710986703988804,0.31280615815255425,0.8228476821192053,0.3468248429867411,0.744,0.2678185745140389,0.3046559918478686,0.4706403864015473,0.6035598705501618,0.3705501618122977,0.6493506493506493,0.5136986301369864,0.8390804597701149,0.23248407643312102,0.3416376209091215,0.5034912448703758,0.5870967741935483,0.2806451612903226,0.8478260869565217,0.24761904761904763,0.5470588235294118,0.31,results\esn_sweep\predictions\run_0009_predictions.csv
run_0010,SPY,1d,0.2,100,0.85,0.1,0.5,0.3,1.0,30,42,0.22279859075670674,0.38898686016464196,0.7015395381385584,0.41217634709587125,0.8467966573816156,0.424284717376134,0.8011611030478955,0.39740820734341253,0.3228621894171239,0.47715833056336393,0.5922330097087378,0.39805825242718446,0.6336206896551724,0.5034246575342466,0.6940298507462687,0.2961783439490446,0.39617978468467285,0.5218257941054998,0.582258064516129,0.29838709677419356,0.6782608695652174,0.24761904761904763,0.5531914893617021,0.3466666666666667,results\esn_sweep\predictions\run_0010_predictions.csv
